"magnitude","deph","region","datetime","latitude","longitude"
"1.6","6.20","Southern California","Thursday, May 13, 2010 21:16:07 UTC","32.6861","-115.9476"
"1.7","6.00","Southern California","Thursday, May 13, 2010 20:54:34 UTC","32.6858","-115.7698"
"1.1","12.40","Southern California","Thursday, May 13, 2010 20:43:01 UTC","33.4355","-116.5793"
"1.9","10.40","Southern California","Thursday, May 13, 2010 20:15:59 UTC","32.6795","-115.8711"
"1.7","7.20","Southern California","Thursday, May 13, 2010 19:54:31 UTC","32.6756","-115.9003"
"1.4","0.00","Southern California","Thursday, May 13, 2010 19:05:58 UTC","35.0543","-118.3488"
"1.6","5.00","Southern California","Thursday, May 13, 2010 18:40:43 UTC","32.6553","-115.8271"
"1.6","4.60","Southern California","Thursday, May 13, 2010 18:20:52 UTC","32.6776","-115.8216"
"1.7","7.20","Southern California","Thursday, May 13, 2010 17:57:36 UTC","32.7071","-115.8575"
"1.4","7.50","Southern California","Thursday, May 13, 2010 17:53:28 UTC","32.8863","-116.2528"
"1.9","4.80","Southern California","Thursday, May 13, 2010 17:52:06 UTC","32.6651","-115.8701"
"1.9","7.90","Southern California","Thursday, May 13, 2010 17:40:29 UTC","32.6570","-115.8118"
"1.8","7.10","Southern California","Thursday, May 13, 2010 15:58:18 UTC","32.6878","-116.0305"
"1.8","6.20","Southern California","Thursday, May 13, 2010 13:39:18 UTC","32.6855","-115.8910"
"2.1","6.20","Southern California","Thursday, May 13, 2010 13:18:50 UTC","32.6880","-115.8031"
"1.2","16.90","Southern California","Thursday, May 13, 2010 12:58:31 UTC","33.9982","-116.8237"
"1.0","19.40","Southern California","Thursday, May 13, 2010 12:58:27 UTC","34.0142","-116.8275"
"1.8","1.00","Southern California","Thursday, May 13, 2010 12:45:31 UTC","32.6790","-115.7693"
"1.7","13.70","Southern California","Thursday, May 13, 2010 11:45:11 UTC","32.6662","-115.7068"
"1.9","7.30","Southern California","Thursday, May 13, 2010 11:43:04 UTC","32.7068","-116.1833"
"1.8","4.10","Southern California","Thursday, May 13, 2010 11:26:40 UTC","32.6555","-115.7465"
"2.0","10.00","Southern California","Thursday, May 13, 2010 11:26:40 UTC","32.7085","-115.6692"
"1.6","8.20","Southern California","Thursday, May 13, 2010 11:07:42 UTC","32.6755","-115.8713"
"1.7","7.00","Southern California","Thursday, May 13, 2010 10:53:07 UTC","32.6626","-115.8618"
"1.0","12.20","Southern California","Thursday, May 13, 2010 10:14:11 UTC","32.9367","-116.3272"
"2.3","6.80","Southern California","Thursday, May 13, 2010 09:39:35 UTC","32.6475","-115.8673"
"1.8","3.40","Southern California","Thursday, May 13, 2010 09:08:50 UTC","32.6586","-115.8276"
"2.9","6.00","Southern California","Thursday, May 13, 2010 09:01:34 UTC","32.6415","-115.8140"
"2.6","1.50","Southern California","Thursday, May 13, 2010 08:38:17 UTC","32.6923","-115.8898"
"1.8","5.50","Southern California","Thursday, May 13, 2010 08:29:03 UTC","32.6810","-115.8730"
"1.6","7.70","Southern California","Thursday, May 13, 2010 07:48:59 UTC","33.6002","-115.9920"
"1.4","9.90","Southern California","Thursday, May 13, 2010 06:23:32 UTC","34.3160","-116.9165"
"1.4","9.50","Southern California","Thursday, May 13, 2010 06:23:18 UTC","34.3066","-116.9198"
"2.1","3.40","Southern California","Thursday, May 13, 2010 06:06:19 UTC","32.6986","-116.0480"
"1.9","6.40","Southern California","Thursday, May 13, 2010 04:27:16 UTC","32.6771","-115.9235"
"2.1","4.20","Southern California","Thursday, May 13, 2010 03:30:25 UTC","32.6771","-115.8545"
"1.7","8.40","Southern California","Thursday, May 13, 2010 03:16:13 UTC","32.6390","-115.8326"
"1.8","3.70","Southern California","Thursday, May 13, 2010 02:53:49 UTC","32.6626","-115.8863"
"1.7","7.10","Southern California","Thursday, May 13, 2010 02:24:20 UTC","32.6726","-115.8640"
"1.5","4.90","Southern California","Thursday, May 13, 2010 02:16:45 UTC","33.2553","-116.4130"
"2.0","6.10","Southern California","Thursday, May 13, 2010 02:13:19 UTC","32.6620","-115.8610"
"1.4","10.40","Southern California","Thursday, May 13, 2010 01:47:10 UTC","32.9883","-116.4293"
"1.1","9.70","Southern California","Thursday, May 13, 2010 01:43:19 UTC","33.4948","-116.5710"
"1.6","5.60","Southern California","Thursday, May 13, 2010 01:24:44 UTC","32.7873","-116.1333"
"1.9","3.10","Southern California","Thursday, May 13, 2010 01:24:34 UTC","32.6603","-115.8160"
"1.6","4.70","Southern California","Thursday, May 13, 2010 00:56:59 UTC","32.6834","-115.8011"
"1.9","5.00","Southern California","Thursday, May 13, 2010 00:01:54 UTC","32.6758","-116.0258"
"1.5","9.10","Southern California","Wednesday, May 12, 2010 23:54:31 UTC","33.0133","-116.4550"
"1.9","3.70","Southern California","Wednesday, May 12, 2010 23:09:17 UTC","32.7055","-115.8780"
"1.1","17.20","Southern California","Wednesday, May 12, 2010 21:39:44 UTC","33.6352","-116.7137"
"1.3","12.60","Southern California","Wednesday, May 12, 2010 21:07:24 UTC","33.0157","-116.3290"
"1.1","9.60","Southern California","Wednesday, May 12, 2010 21:02:59 UTC","33.6110","-115.9890"
"1.2","5.30","Southern California","Wednesday, May 12, 2010 20:54:20 UTC","32.8173","-116.0250"
"1.9","5.90","Southern California","Wednesday, May 12, 2010 20:31:44 UTC","32.6821","-115.8633"
"1.0","17.30","Southern California","Wednesday, May 12, 2010 20:03:47 UTC","33.3510","-116.9410"
"1.6","16.50","Southern California","Wednesday, May 12, 2010 20:01:00 UTC","33.3452","-116.9452"
"1.4","5.70","Southern California","Wednesday, May 12, 2010 18:47:33 UTC","32.8118","-115.9538"
"1.9","6.60","Southern California","Wednesday, May 12, 2010 17:47:17 UTC","32.6651","-115.8345"
"1.7","5.50","Southern California","Wednesday, May 12, 2010 17:37:11 UTC","32.6580","-115.7956"
"1.6","2.90","Southern California","Wednesday, May 12, 2010 17:14:58 UTC","32.6922","-115.9980"
"1.4","11.20","Southern California","Wednesday, May 12, 2010 17:00:47 UTC","33.2807","-116.8332"
"1.8","3.60","Southern California","Wednesday, May 12, 2010 16:42:42 UTC","32.6793","-115.8023"
"1.7","11.10","Southern California","Wednesday, May 12, 2010 14:55:46 UTC","32.8176","-116.2168"
"1.2","9.10","Southern California","Wednesday, May 12, 2010 14:33:04 UTC","32.9792","-116.2932"
"1.1","11.10","Southern California","Wednesday, May 12, 2010 14:22:41 UTC","33.4347","-116.5735"
"1.3","11.10","Southern California","Wednesday, May 12, 2010 14:14:01 UTC","33.4318","-116.5773"
"1.6","9.10","Southern California","Wednesday, May 12, 2010 13:59:58 UTC","32.6773","-116.0413"
"1.8","6.80","Southern California","Wednesday, May 12, 2010 13:57:05 UTC","32.6728","-115.8158"
"2.0","5.50","Southern California","Wednesday, May 12, 2010 13:51:58 UTC","32.7006","-115.8815"
"2.0","2.40","Southern California","Wednesday, May 12, 2010 13:51:11 UTC","32.6996","-115.8888"
"3.6","2.70","Southern California","Wednesday, May 12, 2010 13:33:23 UTC","32.7175","-115.8902"
"1.0","15.00","Southern California","Wednesday, May 12, 2010 13:22:12 UTC","34.0397","-116.8353"
"1.7","6.80","Southern California","Wednesday, May 12, 2010 12:42:55 UTC","32.6698","-115.8331"
"2.0","4.40","Southern California","Wednesday, May 12, 2010 12:31:42 UTC","32.6836","-115.9118"
"1.8","5.60","Southern California","Wednesday, May 12, 2010 12:14:33 UTC","32.6605","-115.8218"
"1.2","9.60","Southern California","Wednesday, May 12, 2010 11:51:21 UTC","32.9183","-116.3502"
"2.2","2.80","Southern California","Wednesday, May 12, 2010 10:21:56 UTC","32.6841","-115.8111"
"1.7","7.70","Southern California","Wednesday, May 12, 2010 10:01:32 UTC","32.8526","-116.1926"
"1.0","9.10","Southern California","Wednesday, May 12, 2010 09:22:16 UTC","33.2495","-116.6745"
"1.1","9.40","Southern California","Wednesday, May 12, 2010 09:09:39 UTC","32.9990","-116.3350"
"2.0","6.00","Southern California","Wednesday, May 12, 2010 08:55:45 UTC","32.6641","-115.8688"
"1.1","11.90","Southern California","Wednesday, May 12, 2010 08:46:59 UTC","32.9145","-116.3412"
"1.0","12.60","Southern California","Wednesday, May 12, 2010 08:12:50 UTC","34.2300","-116.7593"
"1.8","4.40","Southern California","Wednesday, May 12, 2010 08:06:21 UTC","32.6960","-115.8691"
"1.7","4.00","Southern California","Wednesday, May 12, 2010 07:59:44 UTC","32.8173","-115.9585"
"1.7","5.40","Southern California","Wednesday, May 12, 2010 07:24:49 UTC","32.6658","-115.8226"
"1.0","0.10","Southern California","Wednesday, May 12, 2010 06:11:44 UTC","33.2365","-115.6345"
"1.9","4.30","Southern California","Wednesday, May 12, 2010 05:39:21 UTC","32.8126","-115.9631"
"1.6","3.20","Southern California","Wednesday, May 12, 2010 05:25:46 UTC","32.6923","-115.8450"
"1.8","1.20","Southern California","Wednesday, May 12, 2010 05:24:50 UTC","32.6661","-115.8370"
"2.1","3.70","Southern California","Wednesday, May 12, 2010 04:46:45 UTC","32.6746","-115.8501"
"1.6","12.60","Southern California","Wednesday, May 12, 2010 04:03:39 UTC","33.0330","-116.5028"
"1.9","0.00","Southern California","Wednesday, May 12, 2010 03:57:16 UTC","32.6723","-115.8780"
"1.2","5.80","Southern California","Wednesday, May 12, 2010 03:16:33 UTC","32.6675","-115.7787"
